{0, 0, 1000, 0,},
{1, 0, 1000, 0,},
{2, 0, 1000, 0,},
{3, 0, 1000, 0,},
{4, 0, 1000, 0,},
{5, 0, 1000, 0,},
{6, 0, 1000, 0,},
{7, 0, 1000, 0,},
{8, 0, 1000, 0,},
{9, 0, 1000, 0,},
{10, 0, 1000, 0,},
{11, 0, 1000, 0,},
{12, 0, 1000, 0,},
{13, 0, 1000, 0,},
{14, 0, 1000, 0,},
{15, 0, 1000, 0,},
{16, 0, 1000, 0,},
{17, 0, 1000, 0,},
{0, 1, 1000, 0,},
{1, 1, 159, 2,},
{5, 1, 158, 2,},
{9, 1, 159, 2,},
{13, 1, 158, 2,},
{17, 1, 1000, 0,},
{0, 2, 1000, 0,},
{17, 2, 1000, 0,},
{0, 3, 1000, 0,},
{17, 3, 1000, 0,},
{0, 4, 1000, 0,},
{17, 4, 1000, 0,},
{0, 5, 1000, 0,},
{1, 5, 29, 2,},
{2, 5, 55, 2,},
{3, 5, 55, 2,},
{4, 5, 33, 2,},
{5, 5, 55, 2,},
{6, 5, 116, 2,},
{7, 5, 110, 2,},
{11, 5, 116, 2,},
{12, 5, 55, 2,},
{13, 5, 33, 2,},
{14, 5, 55, 2,},
{15, 5, 55, 2,},
{16, 5, 29, 2,},
{17, 5, 1000, 0,},
{0, 6, 1000, 0,},
{1, 6, 1000, 1,},
{2, 6, 1000, 1,},
{3, 6, 1000, 1,},
{4, 6, 1000, 1,},
{5, 6, 1000, 1,},
{6, 6, 1000, 1,},
{11, 6, 1000, 1,},
{12, 6, 1000, 1,},
{13, 6, 1000, 1,},
{14, 6, 1000, 1,},
{15, 6, 1000, 1,},
{16, 6, 1000, 1,},
{17, 6, 1000, 0,},
{1, 7, 1000, 0,},
{2, 7, 55, 1,},
{3, 7, 55, 1,},
{4, 7, 55, 1,},
{5, 7, 109, 1,},
{6, 7, 1000, 1,},
{11, 7, 1000, 1,},
{12, 7, 109, 1,},
{13, 7, 55, 1,},
{14, 7, 55, 1,},
{15, 7, 55, 1,},
{16, 7, 1000, 0,},
{1, 8, 1000, 0,},
{2, 8, 83, 1,},
{4, 8, 58, 1,},
{5, 8, 55, 1,},
{6, 8, 1000, 1,},
{11, 8, 1000, 1,},
{12, 8, 55, 1,},
{13, 8, 58, 1,},
{14, 8, 87, 1,},
{16, 8, 1000, 0,},
{1, 9, 1000, 0,},
{4, 9, 57, 1,},
{5, 9, 58, 1,},
{6, 9, 1000, 1,},
{7, 9, 1000, 1,},
{8, 9, 59, 2,},
{9, 9, 59, 2,},
{10, 9, 1000, 1,},
{11, 9, 1000, 1,},
{12, 9, 58, 1,},
{13, 9, 57, 1,},
{16, 9, 1000, 0,},
{1, 10, 1000, 0,},
{2, 10, 1000, 0,},
{3, 10, 1000, 0,},
{4, 10, 55, 1,},
{5, 10, 57, 1,},
{6, 10, 58, 1,},
{7, 10, 1000, 1,},
{8, 10, 2, 2,},
{10, 10, 1000, 1,},
{11, 10, 58, 1,},
{12, 10, 57, 1,},
{13, 10, 55, 1,},
{14, 10, 1000, 0,},
{15, 10, 1000, 0,},
{16, 10, 1000, 0,},
{1, 11, 1001, 0,},
{2, 11, 1001, 0,},
{3, 11, 1000, 0,},
{4, 11, 86, 1,},
{6, 11, 55, 1,},
{7, 11, 1000, 1,},
{10, 11, 1000, 1,},
{11, 11, 55, 1,},
{12, 11, 84, 1,},
{14, 11, 1000, 0,},
{15, 11, 1003, 0,},
{16, 11, 1003, 0,},
{2, 12, 1001, 0,},
{3, 12, 1000, 0,},
{6, 12, 111, 1,},
{7, 12, 1000, 1,},
{8, 12, 33, 2,},
{9, 12, 29, 2,},
{10, 12, 1000, 1,},
{11, 12, 111, 1,},
{14, 12, 1000, 0,},
{15, 12, 1003, 0,},
{3, 13, 1000, 0,},
{4, 13, 1000, 0,},
{5, 13, 1000, 0,},
{6, 13, 1000, 0,},
{7, 13, 1000, 0,},
{8, 13, 1000, 0,},
{9, 13, 1000, 0,},
{10, 13, 1000, 0,},
{11, 13, 1000, 0,},
{12, 13, 1000, 0,},
{13, 13, 1000, 0,},
{14, 13, 1000, 0,},
